wav_file,json_decibel,wav_peak_spl,wav_rms_spl,json_direction,wav_predicted_direction,spl_difference_peak,spl_difference_rms,match_direction
1.자동차_1120_1.wav,120.0,93.1,74.6,좌,중앙,26.9,45.4,False
1.자동차_1121_1.wav,108.0,91.8,74.2,우,중앙,16.2,33.8,False
1.자동차_1122_1.wav,73.0,84.5,66.9,우,중앙,11.5,6.1,False
1.자동차_1125_1.wav,121.0,94.0,80.1,좌,중앙,27.0,40.9,False
1.자동차_1126_1.wav,89.0,88.7,73.2,우,중앙,0.3,15.8,False
1.자동차_1127_1.wav,111.0,90.7,75.7,우,중앙,20.3,35.3,False
1.자동차_1128_1.wav,102.0,89.3,73.6,우,중앙,12.7,28.4,False
1.자동차_112_1.wav,89.0,89.7,73.9,우,중앙,0.7,15.1,False
1.자동차_1130_1.wav,117.0,88.8,74.0,우,중앙,28.2,43.0,False
1.자동차_1132_1.wav,87.0,88.7,70.9,우,중앙,1.7,16.1,False
1.자동차_1133_1.wav,125.0,92.2,73.3,좌,중앙,32.8,51.7,False
1.자동차_1134_1.wav,85.0,88.3,73.1,우,중앙,3.3,11.9,False
1.자동차_1136_1.wav,107.0,90.1,73.9,우,중앙,16.9,33.1,False
1.자동차_1138_1.wav,69.0,82.6,64.5,우,중앙,13.6,4.5,False
1.자동차_1139_1.wav,72.0,83.6,69.0,우,중앙,11.6,3.0,False
1.자동차_1141_1.wav,72.0,78.9,63.1,좌,중앙,6.9,8.9,False
1.자동차_1142_1.wav,114.0,91.1,74.6,우,중앙,22.9,39.4,False
1.자동차_1143_1.wav,86.0,87.2,69.5,우,중앙,1.2,16.5,False
1.자동차_1144_1.wav,128.0,89.4,74.5,우,중앙,38.6,53.5,False
1.자동차_1148_1.wav,69.0,83.4,65.9,우,중앙,14.4,3.1,False
1.자동차_1149_1.wav,73.0,83.5,69.5,우,중앙,10.5,3.5,False
1.자동차_114_1.wav,89.0,87.4,75.2,우,중앙,1.6,13.8,False
1.자동차_1150_1.wav,68.0,84.8,67.3,우,좌,16.8,0.7,False
1.자동차_1151_1.wav,71.0,87.9,71.8,우,중앙,16.9,0.8,False
1.자동차_1153_1.wav,71.0,83.4,69.2,좌,중앙,12.4,1.8,False
1.자동차_1155_1.wav,101.0,91.0,74.8,좌,중앙,10.0,26.2,False
1.자동차_1156_1.wav,115.0,94.0,78.0,좌,중앙,21.0,37.0,False
1.자동차_1159_1.wav,101.0,93.9,77.2,우,중앙,7.1,23.8,False
1.자동차_1161_1.wav,69.0,86.5,68.6,우,좌,17.5,0.4,False
1.자동차_1164_1.wav,71.0,84.9,67.3,좌,좌,13.9,3.7,True
1.자동차_1165_1.wav,102.0,92.2,72.7,우,좌,9.8,29.3,False
1.자동차_1166_1.wav,90.0,88.1,72.7,우,중앙,1.9,17.3,False
1.자동차_1169_1.wav,68.0,80.0,64.0,우,중앙,12.0,4.0,False
1.자동차_116_1.wav,117.0,94.0,81.1,우,중앙,23.0,35.9,False
1.자동차_1170_1.wav,117.0,90.9,73.4,우,중앙,26.1,43.6,False
1.자동차_1171_1.wav,116.0,88.1,71.1,우,중앙,27.9,44.9,False
1.자동차_1174_1.wav,74.0,74.5,59.5,우,중앙,0.5,14.5,False
1.자동차_1175_1.wav,73.0,84.9,70.9,우,중앙,11.9,2.1,False
1.자동차_1176_1.wav,109.0,89.5,71.9,우,중앙,19.5,37.1,False
